date,timestamp,open,high,low,close,volume,return
2023-09-16 06:00:00,1694844000,4.204,4.213,4.162,4.17,32842.944,
2023-09-16 12:00:00,1694865600,4.167,4.175,4.134,4.157,44284.626,-0.003117505995203773
2023-09-16 18:00:00,1694887200,4.157,4.19,4.137,4.185,36722.519,0.006735626653836757
2023-09-17 00:00:00,1694908800,4.185,4.19,4.11,4.127,66955.582,-0.01385902031063313
2023-09-17 06:00:00,1694930400,4.127,4.145,4.109,4.117,35418.919,-0.0024230676035861265
2023-09-17 12:00:00,1694952000,4.119,4.138,4.088,4.088,54357.834,-0.007043964051493767
2023-09-17 18:00:00,1694973600,4.089,4.105,4.046,4.07,50443.946,-0.0044031311154598685
2023-09-18 00:00:00,1694995200,4.071,4.138,4.016,4.133,55634.36,0.015479115479115402
2023-09-18 06:00:00,1695016800,4.134,4.204,4.113,4.196,64661.997,0.015243164771352458
2023-09-18 12:00:00,1695038400,4.197,4.22,4.108,4.111,88642.262,-0.02025738798856047
2023-09-18 18:00:00,1695060000,4.108,4.142,4.093,4.107,66216.356,-0.0009729992702504076
2023-09-19 00:00:00,1695081600,4.105,4.125,4.079,4.116,43557.282,0.0021913805697588717
2023-09-19 06:00:00,1695103200,4.116,4.169,4.094,4.13,67420.612,0.003401360544217802
2023-09-19 12:00:00,1695124800,4.13,4.154,4.085,4.133,103056.708,0.0007263922518159216
2023-09-19 18:00:00,1695146400,4.133,4.165,4.124,4.155,81926.314,0.005323009920154886
2023-09-20 00:00:00,1695168000,4.155,4.17,4.116,4.119,65816.468,-0.008664259927797957
2023-09-20 06:00:00,1695189600,4.119,4.136,4.085,4.109,45345.223,-0.0024277737314881698
2023-09-20 12:00:00,1695211200,4.109,4.126,4.075,4.117,70256.588,0.0019469457288878722
2023-09-20 18:00:00,1695232800,4.117,4.155,4.066,4.138,89658.351,0.005100801554529966
2023-09-21 00:00:00,1695254400,4.139,4.165,4.122,4.136,34246.432,-0.0004833252779119501
2023-09-21 06:00:00,1695276000,4.131,4.132,4.02,4.053,72861.419,-0.02006769825918764
2023-09-21 12:00:00,1695297600,4.052,4.055,4.007,4.029,69723.227,-0.005921539600296066
2023-09-21 18:00:00,1695319200,4.029,4.035,4.0,4.013,52697.012,-0.0039712087366592375
2023-09-22 00:00:00,1695340800,4.013,4.037,3.979,4.028,68371.187,0.0037378519810615796
2023-09-22 06:00:00,1695362400,4.028,4.031,4.006,4.028,34376.053,0.0
2023-09-22 12:00:00,1695384000,4.028,4.035,3.995,4.011,59684.506,-0.0042204568023831435
2023-09-22 18:00:00,1695405600,4.011,4.028,3.998,4.019,96893.224,0.001994515083520332
2023-09-23 00:00:00,1695427200,4.02,4.039,4.001,4.011,41886.143,-0.0019905449116696117
2023-09-23 06:00:00,1695448800,4.011,4.021,4.006,4.013,15398.155,0.0004986287708799164
2023-09-23 12:00:00,1695470400,4.014,4.027,3.999,4.02,32521.343,0.0017443309244953298
2023-09-23 18:00:00,1695492000,4.024,4.036,4.02,4.033,41706.744,0.003233830845771335
2023-09-24 00:00:00,1695513600,4.033,4.034,4.008,4.013,27673.706,-0.004959087527894979
2023-09-24 06:00:00,1695535200,4.015,4.046,4.01,4.046,30072.185,0.008223274358335475
2023-09-24 12:00:00,1695556800,4.045,4.056,4.033,4.051,50981.405,0.0012357884330203017
2023-09-24 18:00:00,1695578400,4.052,4.058,3.973,3.991,86683.294,-0.014811157738829905
2023-09-25 00:00:00,1695600000,3.992,4.041,3.95,4.012,61332.692,0.005261839138060553
2023-09-25 06:00:00,1695621600,4.012,4.069,3.999,4.029,76353.064,0.004237288135593209
2023-09-25 12:00:00,1695643200,4.029,4.088,4.024,4.078,70611.76,0.012161826756019067
2023-09-25 18:00:00,1695664800,4.081,4.083,4.051,4.065,64724.846,-0.0031878371750857504
2023-09-26 00:00:00,1695686400,4.067,4.089,4.04,4.044,37241.838,-0.005166051660516757
2023-09-26 06:00:00,1695708000,4.044,4.05,4.019,4.037,30761.579,-0.0017309594460929167
2023-09-26 12:00:00,1695729600,4.035,4.036,3.999,4.006,59218.953,-0.0076789695318304485
2023-09-26 18:00:00,1695751200,4.006,4.019,3.971,4.01,52405.562,0.0009985022466298954
2023-09-27 00:00:00,1695772800,4.009,4.019,3.991,4.004,40091.554,-0.0014962593516210099
2023-09-27 06:00:00,1695794400,4.004,4.068,3.989,4.055,67976.884,0.012737262737262833
2023-09-27 12:00:00,1695816000,4.059,4.07,3.975,4.004,74405.005,-0.012577065351418004
2023-09-27 18:00:00,1695837600,4.004,4.005,3.965,3.99,63592.148,-0.0034965034965033226
2023-09-28 00:00:00,1695859200,3.989,4.009,3.979,3.998,39951.68,0.002005012531328232
2023-09-28 06:00:00,1695880800,3.997,4.046,3.992,4.039,47007.7,0.010255127563781663
2023-09-28 12:00:00,1695902400,4.039,4.098,4.032,4.078,192072.824,0.009655855409754999
