date,timestamp,open,high,low,close,volume,return
2024-10-01 12:00:00,1727784000,4.154,4.446,3.76,4.301,400793.53,
2024-10-01 18:00:00,1727805600,4.302,4.348,3.763,4.016,603929.41,-0.06626365961404324
2024-10-02 00:00:00,1727827200,4.011,4.242,3.95,4.053,127882.57,0.009213147410358502
2024-10-02 06:00:00,1727848800,4.039,4.039,3.5,3.547,158700.61,-0.12484579323957556
2024-10-02 12:00:00,1727870400,3.547,3.756,3.468,3.511,220671.19,-0.010149422046800138
2024-10-02 18:00:00,1727892000,3.511,3.523,3.168,3.25,253145.89,-0.07433779549985764
2024-10-03 00:00:00,1727913600,3.256,3.539,3.176,3.426,191769.29,0.05415384615384622
2024-10-03 06:00:00,1727935200,3.44,3.51,3.267,3.428,88640.17,0.0005837711617044938
2024-10-03 12:00:00,1727956800,3.393,3.714,3.356,3.447,221488.99,0.00554259043173877
2024-10-03 18:00:00,1727978400,3.442,3.524,3.288,3.348,288468.3,-0.02872062663185382
2024-10-04 00:00:00,1728000000,3.354,3.535,3.275,3.413,235576.47,0.019414575866188777
2024-10-04 06:00:00,1728021600,3.415,3.618,3.313,3.386,220593.97,-0.007910928801640682
2024-10-04 12:00:00,1728043200,3.386,3.684,3.374,3.611,387205.88,0.06645008860011825
2024-10-04 18:00:00,1728064800,3.606,3.711,3.563,3.578,224134.78,-0.009138742730545601
2024-10-05 00:00:00,1728086400,3.57,3.616,3.451,3.474,105074.85,-0.029066517607601927
2024-10-05 06:00:00,1728108000,3.462,3.473,3.351,3.418,119199.33,-0.016119746689694847
2024-10-05 12:00:00,1728129600,3.429,3.433,3.202,3.228,198238.22,-0.05558806319485077
2024-10-05 18:00:00,1728151200,3.225,3.233,3.17,3.186,180092.23,-0.013011152416356975
2024-10-06 00:00:00,1728172800,3.18,3.229,3.036,3.097,203782.7,-0.0279347143753923
2024-10-06 06:00:00,1728194400,3.089,3.283,3.056,3.201,78306.71,0.03358088472715526
2024-10-06 12:00:00,1728216000,3.198,3.317,3.168,3.263,125815.23,0.01936894720399862
2024-10-06 18:00:00,1728237600,3.275,3.325,3.184,3.294,85006.74,0.009500459699662844
2024-10-07 00:00:00,1728259200,3.292,3.581,3.291,3.408,137554.45,0.03460837887067392
2024-10-07 06:00:00,1728280800,3.399,3.536,3.313,3.536,71085.68,0.03755868544600949
2024-10-07 12:00:00,1728302400,3.543,3.671,3.466,3.504,177304.36,-0.009049773755656076
2024-10-07 18:00:00,1728324000,3.499,3.512,3.306,3.368,128195.17,-0.038812785388127935
2024-10-08 00:00:00,1728345600,3.362,3.471,3.33,3.387,94495.46,0.005641330166270775
2024-10-08 06:00:00,1728367200,3.4,3.799,3.375,3.626,188805.57,0.07056392087392971
2024-10-08 12:00:00,1728388800,3.629,4.04,3.615,3.903,356326.69,0.07639271924986213
2024-10-08 18:00:00,1728410400,3.903,3.947,3.688,3.726,208519.1,-0.04534973097617223
2024-10-09 00:00:00,1728432000,3.727,4.146,3.643,4.134,302471.08,0.10950080515297911
2024-10-09 06:00:00,1728453600,4.128,4.16,3.882,4.043,229425.54,-0.022012578616352196
2024-10-09 12:00:00,1728475200,4.056,4.057,3.631,3.743,281561.83,-0.07420232500618362
2024-10-09 18:00:00,1728496800,3.739,3.761,3.581,3.662,160258.2,-0.021640395404755486
2024-10-10 00:00:00,1728518400,3.669,3.851,3.614,3.735,215742.34,0.019934462042599632
2024-10-10 06:00:00,1728540000,3.729,3.75,3.479,3.729,194215.96,-0.0016064257028112205
2024-10-10 12:00:00,1728561600,3.734,3.855,3.588,3.597,252847.65,-0.03539823008849563
2024-10-10 18:00:00,1728583200,3.604,3.754,3.562,3.725,220531.61,0.03558520989713654
2024-10-11 00:00:00,1728604800,3.728,3.904,3.677,3.677,131458.47,-0.012885906040268513
2024-10-11 06:00:00,1728626400,3.68,3.904,3.678,3.756,74929.77,0.021484906173510954
2024-10-11 12:00:00,1728648000,3.757,4.136,3.698,4.025,361286.83,0.07161874334398322
2024-10-11 18:00:00,1728669600,4.018,4.018,3.89,3.921,138903.25,-0.02583850931677034
2024-10-12 00:00:00,1728691200,3.92,3.983,3.843,3.963,98597.12,0.010711553175210442
2024-10-12 06:00:00,1728712800,3.969,4.016,3.852,3.857,67350.55,-0.026747413575573975
2024-10-12 12:00:00,1728734400,3.854,3.893,3.784,3.795,72810.85,-0.01607466943220126
2024-10-12 18:00:00,1728756000,3.793,3.824,3.722,3.739,68197.22,-0.014756258234519093
2024-10-13 00:00:00,1728777600,3.739,3.765,3.621,3.701,107461.69,-0.01016314522599615
2024-10-13 06:00:00,1728799200,3.699,3.707,3.563,3.583,93058.21,-0.03188327479059705
2024-10-13 12:00:00,1728820800,3.587,3.718,3.518,3.54,157800.36,-0.012001116382919341
2024-10-13 18:00:00,1728842400,3.541,3.604,3.482,3.573,131228.95,0.009322033898305104
2024-10-14 00:00:00,1728864000,3.572,3.651,3.455,3.597,253955.67,0.0067170445004198776
2024-10-14 06:00:00,1728885600,3.606,3.689,3.58,3.605,69569.04,0.0022240756185709643
2024-10-14 12:00:00,1728907200,3.604,3.8,3.5,3.663,272884.52,0.016088765603328614
2024-10-14 18:00:00,1728928800,3.668,3.815,3.636,3.775,140815.7,0.030576030576030533
2024-10-15 00:00:00,1728950400,3.788,3.809,3.535,3.555,206256.63,-0.05827814569536416
2024-10-15 06:00:00,1728972000,3.565,3.615,3.41,3.432,99395.22,-0.03459915611814357
2024-10-15 12:00:00,1728993600,3.433,3.658,3.398,3.54,166675.39,0.03146853146853146
2024-10-15 18:00:00,1729015200,3.538,3.558,3.426,3.51,115764.54,-0.008474576271186529
2024-10-16 00:00:00,1729036800,3.51,3.591,3.425,3.427,121587.1,-0.0236467236467236
2024-10-16 06:00:00,1729058400,3.426,3.506,3.283,3.365,150126.52,-0.018091625328275462
2024-10-16 12:00:00,1729080000,3.362,3.39,3.249,3.282,92808.77,-0.024665676077265997
2024-10-16 18:00:00,1729101600,3.281,3.364,3.277,3.326,64930.5,0.013406459475929333
2024-10-17 00:00:00,1729123200,3.332,3.412,3.292,3.296,58888.43,-0.009019843656043358
2024-10-17 06:00:00,1729144800,3.296,3.316,3.156,3.168,78595.78,-0.03883495145631055
2024-10-17 12:00:00,1729166400,3.169,3.276,3.124,3.149,111915.41,-0.005997474747474807
