date,timestamp,open,high,low,close,volume,return
2024-12-10 18:00:00,1733853600,5.49,6.122,5.336,5.652,351788.89,
2024-12-11 00:00:00,1733875200,5.72,9.09,5.364,5.901,793725.33,0.044055201698513846
2024-12-11 06:00:00,1733896800,5.833,5.887,4.926,5.284,284057.91,-0.10455854939840703
2024-12-11 12:00:00,1733918400,5.294,5.48,4.961,5.01,570648.6,-0.051854655563966734
2024-12-11 18:00:00,1733940000,5.006,5.439,4.96,5.43,366890.05,0.08383233532934131
2024-12-12 00:00:00,1733961600,5.432,5.48,5.05,5.118,433665.0,-0.0574585635359115
2024-12-12 06:00:00,1733983200,5.12,5.24,4.807,4.849,169333.15,-0.05255959359124662
2024-12-12 12:00:00,1734004800,4.863,4.95,4.637,4.782,346850.32,-0.01381728191379672
2024-12-12 18:00:00,1734026400,4.774,4.782,4.355,4.492,471296.14,-0.06064408197406945
2024-12-13 00:00:00,1734048000,4.474,4.474,4.128,4.19,484010.42,-0.06723063223508452
2024-12-13 06:00:00,1734069600,4.204,4.325,4.105,4.31,202911.09,0.028639618138424527
2024-12-13 12:00:00,1734091200,4.32,4.393,4.031,4.307,392208.88,-0.0006960556844545218
2024-12-13 18:00:00,1734112800,4.301,4.329,4.187,4.26,156114.85,-0.0109124680752265
2024-12-14 00:00:00,1734134400,4.259,4.509,4.21,4.337,310436.99,0.018075117370891958
2024-12-14 06:00:00,1734156000,4.333,4.389,4.115,4.202,122662.47,-0.031127507493659112
2024-12-14 12:00:00,1734177600,4.188,4.201,3.845,3.871,339014.93,-0.07877201332698713
2024-12-14 18:00:00,1734199200,3.876,3.901,3.733,3.871,208425.55,0.0
2024-12-15 00:00:00,1734220800,3.863,3.952,3.768,3.858,337299.76,-0.0033583053474554037
2024-12-15 06:00:00,1734242400,3.859,3.894,3.753,3.827,142603.5,-0.008035251425609125
2024-12-15 12:00:00,1734264000,3.831,3.95,3.774,3.834,131891.23,0.0018291089626338852
2024-12-15 18:00:00,1734285600,3.832,3.879,3.65,3.851,146691.64,0.004434011476264876
2024-12-16 00:00:00,1734307200,3.847,3.921,3.657,3.697,233414.35,-0.0399896130875097
2024-12-16 06:00:00,1734328800,3.69,3.746,3.495,3.505,183328.1,-0.051934000540979186
2024-12-16 12:00:00,1734350400,3.504,3.619,3.492,3.576,160603.75,0.020256776034236923
2024-12-16 18:00:00,1734372000,3.574,3.623,3.5,3.553,141388.42,-0.006431767337807592
2024-12-17 00:00:00,1734393600,3.555,3.557,3.24,3.363,421366.12,-0.053475935828877
2024-12-17 06:00:00,1734415200,3.358,3.365,3.252,3.284,138776.44,-0.023490930716622116
2024-12-17 12:00:00,1734436800,3.286,3.334,3.045,3.154,341044.46,-0.03958587088915955
2024-12-17 18:00:00,1734458400,3.154,3.218,2.984,3.038,208047.24,-0.036778693722257505
2024-12-18 00:00:00,1734480000,3.037,3.146,2.98,3.074,206599.78,0.011849901250822859
2024-12-18 06:00:00,1734501600,3.078,3.19,3.026,3.104,353706.92,0.009759271307742345
2024-12-18 12:00:00,1734523200,3.11,3.142,3.025,3.075,168612.97,-0.009342783505154606
2024-12-18 18:00:00,1734544800,3.073,3.131,2.638,2.796,488793.04,-0.09073170731707325
2024-12-19 00:00:00,1734566400,2.8,2.936,2.638,2.928,727751.71,0.047210300429184615
2024-12-19 06:00:00,1734588000,2.925,2.962,2.832,2.846,129930.57,-0.028005464480874265
2024-12-19 12:00:00,1734609600,2.848,2.928,2.7,2.768,141972.92,-0.027406886858749258
2024-12-19 18:00:00,1734631200,2.772,2.827,2.59,2.764,287553.0,-0.0014450867052022698
2024-12-20 00:00:00,1734652800,2.754,3.303,2.724,3.122,1180450.62,0.12952243125904483
2024-12-20 06:00:00,1734674400,3.127,3.145,2.79,2.86,429813.1,-0.0839205637411915
2024-12-20 12:00:00,1734696000,2.859,3.273,2.85,3.212,363974.72,0.12307692307692308
2024-12-20 18:00:00,1734717600,3.202,3.573,3.153,3.492,681102.72,0.08717310087173091
2024-12-21 00:00:00,1734739200,3.496,3.685,3.246,3.398,859391.39,-0.02691867124856817
2024-12-21 06:00:00,1734760800,3.399,3.545,3.248,3.273,100681.75,-0.036786344908769864
2024-12-21 12:00:00,1734782400,3.277,3.367,3.088,3.249,158102.76,-0.007332722273143966
2024-12-21 18:00:00,1734804000,3.246,3.272,3.073,3.134,156500.31,-0.03539550630963384
2024-12-22 00:00:00,1734825600,3.134,3.197,2.971,3.023,284402.01,-0.035417996171027366
2024-12-22 06:00:00,1734847200,3.021,3.205,3.005,3.185,210638.99,0.05358914985114116
2024-12-22 12:00:00,1734868800,3.18,3.21,2.967,3.096,117924.15,-0.027943485086342257
2024-12-22 18:00:00,1734890400,3.089,3.099,2.953,3.099,62936.96,0.0009689922480620172
2024-12-23 00:00:00,1734912000,3.096,3.109,2.884,2.932,423063.27,-0.05388835108099399
2024-12-23 06:00:00,1734933600,2.936,2.96,2.879,2.933,54781.53,0.0003410641200545239
2024-12-23 12:00:00,1734955200,2.924,2.956,2.833,2.912,138804.43,-0.007159904534606132
2024-12-23 18:00:00,1734976800,2.913,3.16,2.865,3.11,234760.67,0.06799450549450547
2024-12-24 00:00:00,1734998400,3.089,3.089,2.967,3.022,115861.15,-0.028295819935691302
2024-12-24 06:00:00,1735020000,3.023,3.027,2.928,2.988,61199.86,-0.011250827266710672
2024-12-24 12:00:00,1735041600,2.989,3.194,2.962,3.173,100362.97,0.06191432396251684
2024-12-24 18:00:00,1735063200,3.184,3.21,3.091,3.187,74105.62,0.00441222817522835
2024-12-25 00:00:00,1735084800,3.17,3.591,3.144,3.391,417713.66,0.06401004079071226
2024-12-25 06:00:00,1735106400,3.389,3.475,3.3,3.306,106849.12,-0.025066352108522594
2024-12-25 12:00:00,1735128000,3.297,3.667,3.297,3.612,270664.35,0.09255898366606163
2024-12-25 18:00:00,1735149600,3.608,3.64,3.376,3.463,307253.21,-0.041251384274640146
2024-12-26 00:00:00,1735171200,3.439,3.602,3.315,3.517,458484.7,0.015593416113196534
2024-12-26 06:00:00,1735192800,3.517,3.818,3.473,3.724,339276.14,0.05885698038100662
2024-12-26 12:00:00,1735214400,3.726,4.137,3.726,3.882,883027.47,0.0424274973147154
2024-12-26 18:00:00,1735236000,3.882,3.981,3.788,3.934,290446.86,0.013395157135497104
2024-12-27 00:00:00,1735257600,3.931,4.271,3.733,3.866,1515470.31,-0.017285205897305533
2024-12-27 06:00:00,1735279200,3.875,3.938,3.652,3.762,474560.38,-0.02690118986032075
2024-12-27 12:00:00,1735300800,3.767,4.072,3.766,3.957,503797.86,0.05183413078149912
2024-12-27 18:00:00,1735322400,3.956,4.026,3.865,4.007,310719.22,0.012635835228708592
