date,timestamp,open,high,low,close,volume,return
2023-09-16 06:00:00,1694844000,21.61,21.86,21.61,21.84,5.763,
2023-09-16 12:00:00,1694865600,21.69,21.69,21.26,21.64,58.72,-0.009157509157509125
2023-09-16 18:00:00,1694887200,21.57,21.75,21.37,21.52,123.405,-0.005545286506469571
2023-09-17 00:00:00,1694908800,21.52,21.68,21.29,21.56,183.592,0.0018587360594795044
2023-09-17 06:00:00,1694930400,21.54,21.65,21.53,21.65,17.524,0.004174397031539989
2023-09-17 12:00:00,1694952000,21.53,21.83,21.31,21.35,98.84,-0.01385681293302532
2023-09-17 18:00:00,1694973600,21.44,21.63,21.23,21.23,112.886,-0.005620608899297497
2023-09-18 00:00:00,1694995200,21.48,21.85,21.14,21.58,98.244,0.01648610456900612
2023-09-18 06:00:00,1695016800,21.85,22.49,21.79,21.84,170.834,0.012048192771084487
2023-09-18 12:00:00,1695038400,22.07,22.72,21.96,22.31,242.444,0.021520146520146444
2023-09-18 18:00:00,1695060000,22.3,22.6,22.06,22.54,251.229,0.010309278350515427
2023-09-19 00:00:00,1695081600,22.38,22.73,22.16,22.43,56.566,-0.004880212954747054
2023-09-19 06:00:00,1695103200,22.33,22.94,22.31,22.48,81.712,0.0022291573785109264
2023-09-19 12:00:00,1695124800,22.45,22.83,22.45,22.51,48.076,0.0013345195729537185
2023-09-19 18:00:00,1695146400,22.84,22.89,22.5,22.55,64.203,0.0017769880053308817
2023-09-20 00:00:00,1695168000,22.51,22.79,22.48,22.6,45.487,0.0022172949002217113
2023-09-20 06:00:00,1695189600,22.88,22.98,22.39,22.98,68.667,0.016814159292035447
2023-09-20 12:00:00,1695211200,22.67,23.34,22.52,22.96,248.358,-0.0008703220191470518
2023-09-20 18:00:00,1695232800,22.97,23.47,22.5,22.89,49.455,-0.0030487804878048808
2023-09-21 00:00:00,1695254400,23.07,23.21,22.64,22.85,229.823,-0.001747487986020091
2023-09-21 06:00:00,1695276000,22.73,22.77,22.0,22.01,206.712,-0.036761487964989015
2023-09-21 12:00:00,1695297600,22.29,22.35,21.96,22.16,15.654,0.0068150840527032575
2023-09-21 18:00:00,1695319200,22.17,22.42,22.13,22.29,42.198,0.005866425992779645
2023-09-22 00:00:00,1695340800,22.13,22.47,21.73,22.24,261.058,-0.0022431583669807464
2023-09-22 06:00:00,1695362400,22.35,22.6,22.06,22.28,197.994,0.0017985611510793476
2023-09-22 12:00:00,1695384000,22.19,22.65,21.89,21.89,182.681,-0.017504488330341128
