date,timestamp,open,high,low,close,volume,return
2024-04-30 12:00:00,1714478400,1.1,1.179,1.06,1.163,433215.37,
2024-04-30 18:00:00,1714500000,1.159,1.2,1.088,1.103,413202.12,-0.05159071367153911
2024-05-01 00:00:00,1714521600,1.101,1.118,1.02,1.02,270957.93,-0.07524932003626472
2024-05-01 06:00:00,1714543200,1.023,1.042,0.94,0.97,225120.87,-0.0490196078431373
2024-05-01 12:00:00,1714564800,0.973,0.996,0.961,0.97,213549.37,0.0
2024-05-01 18:00:00,1714586400,0.97,1.042,0.963,1.036,286025.84,0.06804123711340204
2024-05-02 00:00:00,1714608000,1.033,1.041,0.985,0.991,127394.58,-0.043436293436293516
2024-05-02 06:00:00,1714629600,0.989,0.989,0.972,0.989,37026.83,-0.0020181634712411745
2024-05-02 12:00:00,1714651200,0.989,1.036,0.989,1.027,89667.79,0.03842264914054594
2024-05-02 18:00:00,1714672800,1.029,1.039,1.016,1.023,55791.15,-0.003894839337877265
2024-05-03 00:00:00,1714694400,1.027,1.047,1.022,1.04,52291.93,0.016617790811339406
2024-05-03 06:00:00,1714716000,1.039,1.039,1.02,1.021,13995.76,-0.018269230769230926
2024-05-03 12:00:00,1714737600,1.02,1.072,1.014,1.053,121290.34,0.03134182174338895
2024-05-03 18:00:00,1714759200,1.053,1.055,1.041,1.048,60753.31,-0.0047483380816712994
2024-05-04 00:00:00,1714780800,1.05,1.073,1.048,1.073,29420.84,0.023854961832060928
2024-05-04 06:00:00,1714802400,1.074,1.12,1.073,1.112,48820.76,0.03634669151910552
2024-05-04 12:00:00,1714824000,1.106,1.122,1.055,1.066,109224.12,-0.04136690647482022
2024-05-04 18:00:00,1714845600,1.065,1.067,1.04,1.048,137650.22,-0.016885553470919357
2024-05-05 00:00:00,1714867200,1.049,1.065,1.04,1.042,54983.69,-0.005725190839694694
2024-05-05 06:00:00,1714888800,1.042,1.048,1.022,1.029,46573.95,-0.01247600767754331
2024-05-05 12:00:00,1714910400,1.028,1.036,1.014,1.017,87502.58,-0.011661807580174988
2024-05-05 18:00:00,1714932000,1.019,1.021,0.992,1.001,153027.77,-0.015732546705997996
2024-05-06 00:00:00,1714953600,1.005,1.09,1.001,1.051,136862.07,0.049950049950050035
2024-05-06 06:00:00,1714975200,1.052,1.063,1.009,1.015,118634.72,-0.03425309229305429
2024-05-06 12:00:00,1714996800,1.014,1.016,0.995,1.0,134944.92,-0.01477832512315258
2024-05-06 18:00:00,1715018400,1.0,1.008,0.995,1.004,47494.85,0.0040000000000000036
2024-05-07 00:00:00,1715040000,1.004,1.006,0.985,0.991,53767.76,-0.01294820717131473
2024-05-07 06:00:00,1715061600,0.989,1.017,0.986,0.987,20594.47,-0.004036326942482349
