date,timestamp,open,high,low,close,volume,return
2025-03-27 12:00:00,1743076800,3.0,3.0,2.886,2.887,49373.06,
2025-03-27 18:00:00,1743098400,2.921,2.921,2.873,2.884,6382.45,-0.0010391409767925852
2025-03-28 00:00:00,1743120000,2.884,2.909,2.717,2.717,47054.67,-0.05790568654646322
2025-03-28 06:00:00,1743141600,2.719,2.769,2.698,2.74,25875.33,0.00846521899153485
2025-03-28 12:00:00,1743163200,2.747,2.753,2.639,2.667,40198.29,-0.026642335766423497
2025-03-28 18:00:00,1743184800,2.669,2.73,2.644,2.709,21406.95,0.015748031496063186
2025-03-29 00:00:00,1743206400,2.71,2.76,2.648,2.652,24365.95,-0.021040974529346612
2025-03-29 06:00:00,1743228000,2.65,2.656,2.528,2.541,30848.99,-0.041855203619909576
2025-03-29 12:00:00,1743249600,2.538,2.591,2.46,2.485,38390.92,-0.02203856749311295
2025-03-29 18:00:00,1743271200,2.474,2.509,2.474,2.491,14804.32,0.0024144869215292353
2025-03-30 00:00:00,1743292800,2.499,2.627,2.491,2.555,22769.7,0.02569249297470888
2025-03-30 06:00:00,1743314400,2.552,2.569,2.525,2.534,6784.02,-0.008219178082191969
2025-03-30 12:00:00,1743336000,2.538,2.596,2.469,2.506,22038.68,-0.011049723756906049
2025-03-30 18:00:00,1743357600,2.504,2.569,2.499,2.535,31758.07,0.011572226656025641
2025-03-31 00:00:00,1743379200,2.54,2.616,2.488,2.569,9824.61,0.013412228796844117
2025-03-31 06:00:00,1743400800,2.558,2.565,2.457,2.541,28911.07,-0.010899182561307952
2025-03-31 12:00:00,1743422400,2.547,2.71,2.541,2.648,75929.37,0.04210940574576938
2025-03-31 18:00:00,1743444000,2.651,2.763,2.651,2.74,65684.03,0.03474320241691853
2025-04-01 00:00:00,1743465600,2.742,2.924,2.731,2.861,113510.66,0.044160583941605935
2025-04-01 06:00:00,1743487200,2.855,2.929,2.832,2.859,103026.09,-0.0006990562740301076
2025-04-01 12:00:00,1743508800,2.861,3.021,2.846,2.997,127300.86,0.0482686253934943
2025-04-01 18:00:00,1743530400,2.997,3.081,2.955,3.034,139199.62,0.012345679012345734
2025-04-02 00:00:00,1743552000,3.033,3.078,2.922,2.93,134326.58,-0.03427818061964394
2025-04-02 06:00:00,1743573600,2.93,3.071,2.909,3.027,70876.91,0.03310580204778146
2025-04-02 12:00:00,1743595200,3.029,3.314,2.994,3.174,203757.17,0.04856293359762143
2025-04-02 18:00:00,1743616800,3.174,3.324,2.916,2.962,168220.55,-0.06679269061121607
2025-04-03 00:00:00,1743638400,2.963,3.088,2.955,2.956,126398.49,-0.00202565833896029
2025-04-03 06:00:00,1743660000,2.956,2.98,2.736,2.74,95366.96,-0.07307171853856553
