date,timestamp,open,high,low,close,volume,return
2025-04-30 18:00:00,1746036000,1.171,1.206,1.119,1.13,230512.94,
2025-05-01 00:00:00,1746057600,1.13,1.171,1.015,1.05,885648.18,-0.07079646017699104
2025-05-01 06:00:00,1746079200,1.05,1.105,1.029,1.094,231979.77,0.04190476190476189
2025-05-01 12:00:00,1746100800,1.09,1.098,1.051,1.068,559355.72,-0.02376599634369292
2025-05-01 18:00:00,1746122400,1.07,1.074,1.04,1.052,374694.74,-0.014981273408239737
2025-05-02 00:00:00,1746144000,1.052,1.068,1.038,1.047,378145.62,-0.004752851711026684
2025-05-02 06:00:00,1746165600,1.048,1.054,1.022,1.025,161257.85,-0.021012416427889202
2025-05-02 12:00:00,1746187200,1.026,1.049,1.02,1.029,360790.11,0.0039024390243902474
2025-05-02 18:00:00,1746208800,1.028,1.039,1.015,1.032,184564.88,0.00291545189504383
2025-05-03 00:00:00,1746230400,1.033,1.038,1.008,1.018,255999.3,-0.013565891472868241
2025-05-03 06:00:00,1746252000,1.018,1.021,0.985,0.986,130827.09,-0.03143418467583503
2025-05-03 12:00:00,1746273600,0.987,0.999,0.954,0.967,352899.81,-0.01926977687626774
2025-05-03 18:00:00,1746295200,0.968,0.972,0.954,0.958,281971.77,-0.009307135470527417
2025-05-04 00:00:00,1746316800,0.957,0.969,0.939,0.961,215136.23,0.0031315240083507057
2025-05-04 06:00:00,1746338400,0.965,0.965,0.931,0.945,125507.62,-0.01664932362122795
2025-05-04 12:00:00,1746360000,0.946,0.952,0.926,0.937,162988.8,-0.008465608465608399
2025-05-04 18:00:00,1746381600,0.938,0.941,0.916,0.922,171321.57,-0.016008537886873064
2025-05-05 00:00:00,1746403200,0.924,0.959,0.917,0.957,191619.06,0.037960954446854656
2025-05-05 06:00:00,1746424800,0.955,0.965,0.906,0.92,200103.43,-0.03866248693834895
2025-05-05 12:00:00,1746446400,0.918,0.925,0.867,0.881,404533.64,-0.04239130434782612
2025-05-05 18:00:00,1746468000,0.88,0.89,0.853,0.873,316788.37,-0.009080590238365494
2025-05-06 00:00:00,1746489600,0.872,0.892,0.862,0.882,147999.2,0.010309278350515427
2025-05-06 06:00:00,1746511200,0.883,0.9,0.862,0.867,135593.69,-0.017006802721088454
2025-05-06 12:00:00,1746532800,0.866,0.902,0.865,0.899,425262.05,0.03690888119953861
2025-05-06 18:00:00,1746554400,0.9,0.939,0.876,0.929,653443.83,0.033370411568409475
2025-05-07 00:00:00,1746576000,0.93,0.963,0.927,0.942,549970.65,0.01399354144241105
2025-05-07 06:00:00,1746597600,0.942,0.973,0.929,0.934,377021.87,-0.00849256900212303
2025-05-07 12:00:00,1746619200,0.935,0.951,0.909,0.913,552391.42,-0.02248394004282661
2025-05-07 18:00:00,1746640800,0.917,0.939,0.906,0.932,247314.05,0.020810514786418377
2025-05-08 00:00:00,1746662400,0.933,0.987,0.927,0.967,433733.43,0.03755364806866934
