date,timestamp,open,high,low,close,volume,return
2023-09-16 06:00:00,1694844000,26.33,26.42,26.1,26.19,2857.39052,
2023-09-16 12:00:00,1694865600,26.2,26.2,25.79,26.06,5418.81666,-0.004963726613211206
2023-09-16 18:00:00,1694887200,26.06,26.09,25.93,26.03,828.39117,-0.001151189562547894
2023-09-17 00:00:00,1694908800,26.05,26.05,25.31,25.83,559.00815,-0.007683442182097711
2023-09-17 06:00:00,1694930400,25.82,25.96,25.71,25.86,666.90774,0.0011614401858304202
2023-09-17 12:00:00,1694952000,25.87,25.93,25.47,25.47,4160.38419,-0.015081206496519783
2023-09-17 18:00:00,1694973600,25.45,25.61,25.11,25.48,980.85476,0.0003926187671772219
2023-09-18 00:00:00,1694995200,25.51,25.95,25.25,25.85,1249.23578,0.014521193092621676
2023-09-18 06:00:00,1695016800,25.81,26.12,25.53,26.1,2675.07711,0.009671179883945946
2023-09-18 12:00:00,1695038400,26.1,26.23,25.62,25.65,1199.46529,-0.017241379310344973
2023-09-18 18:00:00,1695060000,25.67,25.78,25.35,25.38,4070.65182,-0.010526315789473717
2023-09-19 00:00:00,1695081600,25.39,25.72,25.29,25.64,1230.61548,0.010244286840031647
2023-09-19 06:00:00,1695103200,25.61,26.13,25.57,25.87,4087.01996,0.008970358814352597
2023-09-19 12:00:00,1695124800,25.89,26.11,25.58,25.82,1237.76778,-0.0019327406262079627
2023-09-19 18:00:00,1695146400,25.83,25.92,25.47,25.81,3411.76928,-0.00038729666924874895
2023-09-20 00:00:00,1695168000,25.81,26.04,25.7,25.93,4495.53064,0.0046493607129021175
2023-09-20 06:00:00,1695189600,25.93,26.19,25.83,25.94,3627.71168,0.00038565368299270375
2023-09-20 12:00:00,1695211200,25.99,26.11,25.86,25.97,1228.68056,0.0011565150346952713
2023-09-20 18:00:00,1695232800,25.99,26.27,25.75,26.13,1373.08099,0.00616095494801705
2023-09-21 00:00:00,1695254400,26.15,26.35,26.08,26.22,713.17848,0.003444316877152742
2023-09-21 06:00:00,1695276000,26.22,26.22,25.65,25.86,3941.80295,-0.013729977116704761
2023-09-21 12:00:00,1695297600,25.86,26.18,25.64,25.95,2035.401,0.0034802784222738303
2023-09-21 18:00:00,1695319200,25.95,26.19,25.88,26.09,6471.08594,0.005394990366088592
2023-09-22 00:00:00,1695340800,26.15,26.4,25.88,26.27,1325.61573,0.006899195093905686
2023-09-22 06:00:00,1695362400,26.26,26.42,26.09,26.27,719.91354,0.0
2023-09-22 12:00:00,1695384000,26.27,26.48,26.17,26.39,2786.658,0.004567948229920127
2023-09-22 18:00:00,1695405600,26.39,26.75,26.38,26.67,3119.28912,0.010610079575596787
2023-09-23 00:00:00,1695427200,26.71,26.89,26.57,26.78,952.40409,0.00412448443944502
2023-09-23 06:00:00,1695448800,26.83,26.86,26.64,26.69,258.4238,-0.003360716952949927
2023-09-23 12:00:00,1695470400,26.72,26.72,26.44,26.65,1120.19636,-0.0014986886474336325
2023-09-23 18:00:00,1695492000,26.66,26.72,26.54,26.6,364.88766,-0.0018761726078798668
2023-09-24 00:00:00,1695513600,26.63,26.78,26.46,26.48,290.68729,-0.004511278195488799
2023-09-24 06:00:00,1695535200,26.45,26.57,26.36,26.36,519.6934,-0.004531722054380682
2023-09-24 12:00:00,1695556800,26.41,26.59,26.18,26.3,1147.10412,-0.0022761760242792084
2023-09-24 18:00:00,1695578400,26.31,26.31,25.75,25.87,2056.998,-0.0163498098859316
2023-09-25 00:00:00,1695600000,25.84,26.19,25.61,26.01,252.70743,0.005411673753382251
2023-09-25 06:00:00,1695621600,26.03,26.15,25.9,26.14,426.37659,0.004998077662437428
2023-09-25 12:00:00,1695643200,26.12,26.5,26.1,26.4,2055.37946,0.009946442234123776
2023-09-25 18:00:00,1695664800,26.4,26.4,26.05,26.1,523.96529,-0.011363636363636243
2023-09-26 00:00:00,1695686400,26.11,26.27,26.0,26.0,211.06074,-0.003831417624521105
2023-09-26 06:00:00,1695708000,26.0,26.06,25.83,25.92,330.7548,-0.003076923076922977
2023-09-26 12:00:00,1695729600,25.91,26.35,25.81,26.23,1424.42225,0.011959876543209846
2023-09-26 18:00:00,1695751200,26.24,26.38,25.99,26.23,1018.6265,0.0
2023-09-27 00:00:00,1695772800,26.24,26.35,26.11,26.11,365.27614,-0.004574914220358384
2023-09-27 06:00:00,1695794400,26.15,26.4,26.04,26.35,293.8958,0.009191880505553529
2023-09-27 12:00:00,1695816000,26.42,26.49,25.88,25.99,1005.52294,-0.01366223908918418
2023-09-27 18:00:00,1695837600,25.99,26.25,25.85,26.02,877.84718,0.001154290111581524
2023-09-28 00:00:00,1695859200,26.06,26.28,25.96,25.98,570.27276,-0.001537279016141424
2023-09-28 06:00:00,1695880800,26.03,26.17,25.94,25.96,625.96121,-0.0007698229407235857
2023-09-28 12:00:00,1695902400,25.95,26.38,25.89,26.24,424.22475,0.010785824345146189
2023-09-28 18:00:00,1695924000,26.33,26.46,26.08,26.43,1024.59637,0.007240853658536661
2023-09-29 00:00:00,1695945600,26.48,26.66,26.39,26.6,431.67731,0.006432084752175715
2023-09-29 06:00:00,1695967200,26.58,26.76,26.57,26.63,1154.8392,0.0011278195488721998
2023-09-29 12:00:00,1695988800,26.66,26.92,26.49,26.8,1503.0876,0.006383777694329851
2023-09-29 18:00:00,1696010400,26.76,27.03,26.57,26.68,1684.26461,-0.004477611940298498
2023-09-30 00:00:00,1696032000,26.69,26.74,26.55,26.65,486.96524,-0.0011244377811094886
2023-09-30 06:00:00,1696053600,26.64,26.84,26.54,26.71,345.68606,0.002251407129455929
2023-09-30 12:00:00,1696075200,26.73,27.25,26.71,27.15,722.38669,0.01647323099962561
2023-09-30 18:00:00,1696096800,27.15,27.22,26.88,26.94,766.97881,-0.007734806629834168
2023-10-01 00:00:00,1696118400,26.91,27.44,26.87,27.44,1577.82479,0.018559762435040872
2023-10-01 06:00:00,1696140000,27.47,27.59,27.14,27.43,348.34792,-0.00036443148688047877
2023-10-01 12:00:00,1696161600,27.45,27.53,27.12,27.12,702.73479,-0.011301494713816918
2023-10-01 18:00:00,1696183200,27.18,28.22,27.18,28.09,5182.93278,0.035766961651917395
2023-10-02 00:00:00,1696204800,28.07,28.29,27.93,27.97,2406.58865,-0.004271982912068428
2023-10-02 06:00:00,1696226400,28.11,28.24,27.9,27.93,472.91769,-0.0014301036825169477
2023-10-02 12:00:00,1696248000,27.93,28.03,27.29,27.63,4896.27129,-0.01074113856068748
2023-10-02 18:00:00,1696269600,27.61,27.63,26.94,27.27,2165.64232,-0.013029315960912058
2023-10-03 00:00:00,1696291200,27.32,27.64,27.29,27.62,861.75985,0.012834616795012854
2023-10-03 06:00:00,1696312800,27.58,27.79,27.21,27.21,426.65079,-0.014844315713251288
2023-10-03 12:00:00,1696334400,27.25,27.35,26.96,27.18,623.13912,-0.0011025358324145973
2023-10-03 18:00:00,1696356000,27.15,27.16,26.66,26.9,1713.05357,-0.010301692420897735
2023-10-04 00:00:00,1696377600,26.77,26.77,26.02,26.65,721.18694,-0.009293680297397744
2023-10-04 06:00:00,1696399200,26.67,26.87,26.6,26.71,452.07896,0.002251407129455929
2023-10-04 12:00:00,1696420800,26.7,26.97,26.61,26.95,679.49142,0.008985398727068494
2023-10-04 18:00:00,1696442400,26.94,27.24,26.8,27.14,2695.90023,0.007050092764378624
2023-10-05 00:00:00,1696464000,27.09,27.26,27.0,27.19,1825.00001,0.0018422991893882745
2023-10-05 06:00:00,1696485600,27.17,27.33,27.02,27.17,3561.42086,-0.0007355645457888249
2023-10-05 12:00:00,1696507200,27.18,27.28,26.8,27.0,3339.39821,-0.0062569009937432085
2023-10-05 18:00:00,1696528800,27.0,27.25,26.92,27.12,2611.47722,0.004444444444444473
2023-10-06 00:00:00,1696550400,27.11,27.4,27.06,27.26,1754.09494,0.005162241887905594
2023-10-06 06:00:00,1696572000,27.26,27.5,27.23,27.34,803.74526,0.0029347028613351256
2023-10-06 12:00:00,1696593600,27.38,27.38,26.95,26.95,11884.38817,-0.014264813460131642
2023-10-06 18:00:00,1696615200,26.97,27.0,26.65,26.71,3168.44399,-0.008905380333951718
2023-10-07 00:00:00,1696636800,26.69,26.93,26.57,26.84,890.21132,0.004867090977161981
2023-10-07 06:00:00,1696658400,26.75,27.0,26.71,26.86,317.11235,0.0007451564828613311
2023-10-07 12:00:00,1696680000,26.89,27.24,26.87,26.95,1104.89587,0.003350707371556183
2023-10-07 18:00:00,1696701600,26.92,26.99,26.79,26.99,3826.42591,0.0014842300556585641
2023-10-08 00:00:00,1696723200,27.0,27.13,26.9,27.04,370.78934,0.0018525379770284456
2023-10-08 06:00:00,1696744800,27.07,27.09,26.53,26.55,855.81128,-0.018121301775147924
2023-10-08 12:00:00,1696766400,26.55,26.6,26.14,26.24,1557.36241,-0.01167608286252364
2023-10-08 18:00:00,1696788000,26.22,26.31,26.09,26.22,2144.28702,-0.0007621951219511924
2023-10-09 00:00:00,1696809600,26.23,26.38,26.13,26.33,706.36025,0.004195270785659844
2023-10-09 06:00:00,1696831200,26.35,26.44,24.95,25.6,1052.96188,-0.02772502848461822
2023-10-09 12:00:00,1696852800,25.56,25.78,24.8,25.28,1447.40521,-0.012499999999999956
2023-10-09 18:00:00,1696874400,25.37,25.63,25.33,25.63,1230.40183,0.013844936708860667
2023-10-10 00:00:00,1696896000,25.57,25.78,25.48,25.72,197.90395,0.00351150994927818
2023-10-10 06:00:00,1696917600,25.76,25.83,25.5,25.5,782.43549,-0.008553654743390315
2023-10-10 12:00:00,1696939200,25.55,25.8,25.43,25.47,885.2971,-0.0011764705882353343
2023-10-10 18:00:00,1696960800,25.49,25.53,25.12,25.47,523.3275,0.0
2023-10-11 00:00:00,1696982400,25.48,25.59,24.96,25.0,899.95953,-0.018453082057322323
2023-10-11 06:00:00,1697004000,25.0,25.43,24.89,25.24,645.59048,0.009599999999999831
2023-10-11 12:00:00,1697025600,25.24,25.3,24.71,24.85,1014.37079,-0.01545166402535647
2023-10-11 18:00:00,1697047200,24.84,25.21,24.81,25.1,404.28581,0.010060362173038184
2023-10-12 00:00:00,1697068800,25.04,25.22,24.79,25.22,1319.6625,0.004780876494023811
2023-10-12 06:00:00,1697090400,25.22,25.27,24.71,24.85,575.61726,-0.014670896114195031
2023-10-12 12:00:00,1697112000,24.87,24.89,24.53,24.75,901.04515,-0.004024144869215318
2023-10-12 18:00:00,1697133600,24.73,24.74,24.51,24.51,399.3334,-0.009696969696969648
2023-10-13 00:00:00,1697155200,24.52,24.72,24.42,24.68,394.28123,0.006935944512443726
2023-10-13 06:00:00,1697176800,24.71,24.96,24.7,24.86,732.8831,0.007293354943273878
2023-10-13 12:00:00,1697198400,24.83,24.98,24.7,24.75,728.9563,-0.004424778761061954
2023-10-13 18:00:00,1697220000,24.76,25.24,24.72,24.96,1092.29575,0.00848484848484854
2023-10-14 00:00:00,1697241600,24.97,25.19,24.94,25.07,278.85621,0.004407051282051322
2023-10-14 06:00:00,1697263200,25.07,25.2,24.99,25.1,404.08093,0.0011966493817312518
2023-10-14 12:00:00,1697284800,25.12,25.24,25.07,25.17,369.08309,0.002788844621513853
2023-10-14 18:00:00,1697306400,25.18,25.25,24.93,24.93,991.7191,-0.00953516090584039
2023-10-15 00:00:00,1697328000,24.94,25.19,24.89,25.14,549.41818,0.008423586040914532
2023-10-15 06:00:00,1697349600,25.15,25.15,24.95,25.0,232.953,-0.005568814638027053
2023-10-15 12:00:00,1697371200,24.97,25.23,24.91,25.21,755.22081,0.008399999999999963
2023-10-15 18:00:00,1697392800,25.22,25.29,25.04,25.15,750.99058,-0.0023800079333599067
2023-10-16 00:00:00,1697414400,25.15,25.62,25.13,25.54,2506.99418,0.015506958250496972
2023-10-16 06:00:00,1697436000,25.57,25.62,25.35,25.46,697.91205,-0.003132341425215235
2023-10-16 12:00:00,1697457600,25.58,26.28,25.29,25.43,2165.31834,-0.0011783189316575404
2023-10-16 18:00:00,1697479200,25.5,25.76,25.48,25.62,1433.53171,0.007471490365709821
2023-10-17 00:00:00,1697500800,25.6,25.68,25.23,25.31,780.88621,-0.012099921935987634
2023-10-17 06:00:00,1697522400,25.29,25.31,25.16,25.16,1094.70984,-0.005926511260371359
2023-10-17 12:00:00,1697544000,25.18,25.18,24.53,24.7,1842.63377,-0.01828298887122415
2023-10-17 18:00:00,1697565600,24.69,24.79,24.48,24.62,993.17274,-0.0032388663967610754
2023-10-18 00:00:00,1697587200,24.62,25.04,24.52,24.98,1420.79037,0.01462225832656383
2023-10-18 06:00:00,1697608800,24.9,25.05,24.65,24.9,469.33462,-0.0032025620496397567
2023-10-18 12:00:00,1697630400,24.92,24.96,24.74,24.83,513.74371,-0.0028112449799196915
2023-10-18 18:00:00,1697652000,24.81,24.89,24.68,24.77,547.12022,-0.002416431735803415
