date,timestamp,open,high,low,close,volume,return
2023-09-16 06:00:00,1694844000,7.41,7.47,7.34,7.37,1857.329,
2023-09-16 12:00:00,1694865600,7.39,7.42,7.28,7.41,3835.326,0.005427408412483015
2023-09-16 18:00:00,1694887200,7.4,7.43,7.36,7.43,118.084,0.0026990553306343035
2023-09-17 00:00:00,1694908800,7.42,7.42,7.2,7.31,698.865,-0.016150740242261152
2023-09-17 06:00:00,1694930400,7.3,7.33,7.28,7.33,584.412,0.002735978112175186
2023-09-17 12:00:00,1694952000,7.32,7.33,7.15,7.15,338.923,-0.024556616643929052
2023-09-17 18:00:00,1694973600,7.14,7.15,7.01,7.11,547.557,-0.005594405594405605
2023-09-18 00:00:00,1694995200,7.1,7.28,7.04,7.27,1500.261,0.02250351617440205
2023-09-18 06:00:00,1695016800,7.26,7.36,7.18,7.35,1227.298,0.011004126547455195
2023-09-18 12:00:00,1695038400,7.34,7.67,7.26,7.27,1645.755,-0.010884353741496655
2023-09-18 18:00:00,1695060000,7.26,7.36,7.24,7.3,949.844,0.004126547455295837
2023-09-19 00:00:00,1695081600,7.31,7.52,7.27,7.42,1141.363,0.016438356164383494
2023-09-19 06:00:00,1695103200,7.41,7.67,7.4,7.56,1807.527,0.018867924528301883
2023-09-19 12:00:00,1695124800,7.55,7.64,7.48,7.55,2791.315,-0.001322751322751281
2023-09-19 18:00:00,1695146400,7.56,7.63,7.51,7.61,348.443,0.007947019867549754
2023-09-20 00:00:00,1695168000,7.61,7.7,7.6,7.62,489.104,0.0013140604467805073
2023-09-20 06:00:00,1695189600,7.61,7.68,7.56,7.58,381.643,-0.005249343832021025
2023-09-20 12:00:00,1695211200,7.58,7.61,7.52,7.55,853.34,-0.00395778364116095
2023-09-20 18:00:00,1695232800,7.54,7.64,7.47,7.61,461.286,0.007947019867549754
2023-09-21 00:00:00,1695254400,7.62,7.68,7.54,7.56,1580.872,-0.006570302233902869
2023-09-21 06:00:00,1695276000,7.55,7.57,7.21,7.29,2730.449,-0.0357142857142857
2023-09-21 12:00:00,1695297600,7.3,7.42,7.25,7.4,623.636,0.015089163237311354
2023-09-21 18:00:00,1695319200,7.39,7.43,7.38,7.4,125.632,0.0
2023-09-22 00:00:00,1695340800,7.39,7.53,7.34,7.47,680.062,0.009459459459459474
2023-09-22 06:00:00,1695362400,7.48,7.51,7.46,7.5,109.237,0.004016064257028162
2023-09-22 12:00:00,1695384000,7.49,7.53,7.37,7.41,543.892,-0.01200000000000001
2023-09-22 18:00:00,1695405600,7.42,7.49,7.34,7.48,347.474,0.009446693657219951
2023-09-23 00:00:00,1695427200,7.48,7.57,7.42,7.46,421.686,-0.002673796791443861
2023-09-23 06:00:00,1695448800,7.45,7.47,7.43,7.46,34.97,0.0
2023-09-23 12:00:00,1695470400,7.44,7.44,7.36,7.44,602.838,-0.002680965147452974
2023-09-23 18:00:00,1695492000,7.42,7.43,7.38,7.39,295.247,-0.006720430107526987
2023-09-24 00:00:00,1695513600,7.41,7.42,7.3,7.38,771.193,-0.0013531799729363803
2023-09-24 06:00:00,1695535200,7.38,7.39,7.35,7.35,95.66,-0.004065040650406582
2023-09-24 12:00:00,1695556800,7.37,7.41,7.35,7.41,192.622,0.008163265306122547
2023-09-24 18:00:00,1695578400,7.4,7.4,7.22,7.23,2524.931,-0.02429149797570851
2023-09-25 00:00:00,1695600000,7.23,7.7,7.16,7.6,14796.034,0.051175656984785434
2023-09-25 06:00:00,1695621600,7.59,7.59,7.49,7.49,753.818,-0.014473684210526194
2023-09-25 12:00:00,1695643200,7.5,7.62,7.5,7.57,861.101,0.010680907877169465
2023-09-25 18:00:00,1695664800,7.56,7.57,7.52,7.55,775.809,-0.0026420079260238705
2023-09-26 00:00:00,1695686400,7.56,7.64,7.52,7.54,1386.623,-0.0013245033112582183
2023-09-26 06:00:00,1695708000,7.56,7.57,7.44,7.47,196.238,-0.009283819628647216
2023-09-26 12:00:00,1695729600,7.45,7.53,7.36,7.51,2825.446,0.0053547523427042165
2023-09-26 18:00:00,1695751200,7.5,7.57,7.47,7.55,1724.088,0.005326231691078487
2023-09-27 00:00:00,1695772800,7.58,7.67,7.56,7.62,2216.911,0.009271523178808083
2023-09-27 06:00:00,1695794400,7.61,7.74,7.58,7.73,1010.649,0.014435695538057791
2023-09-27 12:00:00,1695816000,7.74,7.79,7.58,7.62,17241.395,-0.014230271668822847
2023-09-27 18:00:00,1695837600,7.61,7.65,7.54,7.61,3649.08,-0.001312335958005173
2023-09-28 00:00:00,1695859200,7.62,7.7,7.61,7.67,2174.254,0.007884362680683266
2023-09-28 06:00:00,1695880800,7.68,7.87,7.68,7.83,3014.533,0.020860495436766602
2023-09-28 12:00:00,1695902400,7.83,7.9,7.78,7.82,2319.37,-0.0012771392081736277
2023-09-28 18:00:00,1695924000,7.82,7.86,7.73,7.79,519.068,-0.0038363171355498826
2023-09-29 00:00:00,1695945600,7.78,7.79,7.67,7.76,342.585,-0.0038510911424903815
2023-09-29 06:00:00,1695967200,7.77,7.83,7.74,7.79,881.564,0.0038659793814432852
2023-09-29 12:00:00,1695988800,7.79,7.79,7.64,7.7,446.732,-0.011553273427471145
2023-09-29 18:00:00,1696010400,7.69,7.8,7.67,7.8,2848.908,0.01298701298701288
2023-09-30 00:00:00,1696032000,7.78,7.81,7.68,7.68,1552.164,-0.015384615384615441
2023-09-30 06:00:00,1696053600,7.7,7.75,7.7,7.7,58.773,0.0026041666666667407
2023-09-30 12:00:00,1696075200,7.71,7.81,7.71,7.79,918.029,0.011688311688311748
2023-09-30 18:00:00,1696096800,7.77,7.83,7.75,7.77,749.19,-0.0025673940949936247
2023-10-01 00:00:00,1696118400,7.78,7.92,7.78,7.92,686.887,0.019305019305019266
2023-10-01 06:00:00,1696140000,7.92,8.13,7.91,8.09,444.852,0.02146464646464641
2023-10-01 12:00:00,1696161600,8.11,8.2,8.03,8.07,1965.187,-0.0024721878862793423
2023-10-01 18:00:00,1696183200,8.07,8.47,8.04,8.36,2056.62,0.035935563816604565
2023-10-02 00:00:00,1696204800,8.37,8.4,8.18,8.2,1684.309,-0.019138755980861233
2023-10-02 06:00:00,1696226400,8.21,8.39,8.21,8.24,395.252,0.004878048780487809
2023-10-02 12:00:00,1696248000,8.24,8.29,8.09,8.23,893.47,-0.0012135922330096527
2023-10-02 18:00:00,1696269600,8.24,8.24,8.0,8.12,708.42,-0.013365735115431487
2023-10-03 00:00:00,1696291200,8.13,8.21,8.09,8.12,1035.215,0.0
2023-10-03 06:00:00,1696312800,8.13,8.16,8.0,8.02,198.028,-0.01231527093596052
2023-10-03 12:00:00,1696334400,8.01,8.01,7.85,7.87,1012.848,-0.018703241895261735
2023-10-03 18:00:00,1696356000,7.86,7.86,7.56,7.67,1302.929,-0.02541296060991105
