date,timestamp,open,high,low,close,volume
2025-05-06 15:34:00,1746545640,169.23,169.47,169.2,169.47,2.201
2025-05-06 15:35:00,1746545700,169.39,169.4,169.39,169.39,6.265
2025-05-06 15:36:00,1746545760,169.35,169.53,169.35,169.38,113.847
2025-05-06 15:37:00,1746545820,169.16,169.37,169.16,169.37,10.248
2025-05-06 15:38:00,1746545880,169.33,169.4,169.18,169.18,40.735
2025-05-06 15:39:00,1746545940,169.29,169.37,169.24,169.37,12.93
2025-05-06 15:40:00,1746546000,169.43,169.43,169.26,169.37,4.74
2025-05-06 15:41:00,1746546060,169.25,169.46,169.19,169.19,11.786
2025-05-06 15:42:00,1746546120,169.09,169.15,168.74,168.93,8.123
2025-05-06 15:43:00,1746546180,168.78,168.78,168.71,168.77,14.518
2025-05-06 15:44:00,1746546240,168.74,168.96,168.74,168.96,46.742
2025-05-06 15:45:00,1746546300,168.97,169.07,168.92,168.92,73.832
2025-05-06 15:46:00,1746546360,168.88,168.96,168.73,168.89,16.702
2025-05-06 15:47:00,1746546420,168.82,168.92,168.5,168.5,34.96
2025-05-06 15:48:00,1746546480,168.59,168.59,168.42,168.48,0.326
2025-05-06 15:49:00,1746546540,168.65,168.71,168.56,168.56,1.585
2025-05-06 15:51:00,1746546660,168.36,168.41,168.07,168.12,147.291
2025-05-06 15:52:00,1746546720,168.15,168.3,168.1,168.3,27.227
2025-05-06 15:53:00,1746546780,168.32,168.32,168.05,168.05,41.873
2025-05-06 15:54:00,1746546840,167.96,168.23,167.9,167.96,216.455
2025-05-06 15:55:00,1746546900,167.98,167.98,167.85,167.89,47.807
2025-05-06 15:56:00,1746546960,167.81,167.97,167.75,167.85,9.693
2025-05-06 15:57:00,1746547020,167.91,168.12,167.91,168.11,14.741
2025-05-06 15:58:00,1746547080,168.18,168.18,167.84,167.87,2.432
2025-05-06 15:59:00,1746547140,167.86,168.2,167.86,168.2,1.215
2025-05-06 16:00:00,1746547200,168.27,168.35,167.98,167.99,6.865
2025-05-06 16:01:00,1746547260,168.02,168.04,167.83,167.89,41.138
2025-05-06 16:02:00,1746547320,167.79,167.79,167.57,167.77,18.762
2025-05-06 16:03:00,1746547380,167.61,167.61,167.09,167.22,10.326
2025-05-06 16:04:00,1746547440,167.27,167.66,167.27,167.37,14.725
2025-05-06 16:05:00,1746547500,167.41,167.66,167.41,167.66,0.347
2025-05-06 16:06:00,1746547560,167.72,167.75,167.29,167.47,49.807
2025-05-06 16:07:00,1746547620,167.39,167.6,167.36,167.36,6.599
2025-05-06 16:08:00,1746547680,167.4,167.48,167.2,167.2,35.37
2025-05-06 16:09:00,1746547740,167.15,167.15,166.84,167.02,219.397
2025-05-06 16:10:00,1746547800,166.98,167.54,166.98,167.47,66.79
2025-05-06 16:11:00,1746547860,167.54,167.79,167.41,167.79,117.77
2025-05-06 16:12:00,1746547920,167.85,168.4,167.85,168.09,7.155
2025-05-06 16:13:00,1746547980,168.2,169.25,168.2,169.07,151.828
2025-05-06 16:14:00,1746548040,169.01,169.24,168.98,169.22,30.11
2025-05-06 16:15:00,1746548100,169.28,169.37,168.93,169.31,60.622
2025-05-06 16:16:00,1746548160,169.37,169.37,169.07,169.09,23.626
2025-05-06 16:17:00,1746548220,169.12,169.6,169.12,169.6,2.444
2025-05-06 16:18:00,1746548280,169.45,169.45,169.19,169.35,4.1
2025-05-06 16:19:00,1746548340,169.37,169.55,169.24,169.34,115.102
2025-05-06 16:20:00,1746548400,169.32,169.39,169.04,169.07,101.571
2025-05-06 16:21:00,1746548460,169.06,169.06,168.45,168.61,75.599
2025-05-06 16:22:00,1746548520,168.56,168.79,168.54,168.67,40.391
2025-05-06 16:23:00,1746548580,168.65,168.76,168.6,168.64,4.339
2025-05-06 16:24:00,1746548640,168.55,168.55,168.21,168.21,10.505
2025-05-06 16:25:00,1746548700,168.24,168.44,168.24,168.44,1.424
2025-05-06 16:26:00,1746548760,168.49,168.82,168.49,168.61,42.728
2025-05-06 16:27:00,1746548820,168.73,168.93,168.58,168.65,15.921
2025-05-06 16:28:00,1746548880,168.68,169.19,168.68,169.0,134.485
2025-05-06 16:29:00,1746548940,169.04,169.1,168.95,169.01,33.764
2025-05-06 16:30:00,1746549000,168.99,169.08,168.84,169.03,11.481
2025-05-06 16:31:00,1746549060,169.01,169.1,168.75,169.1,188.743
2025-05-06 16:32:00,1746549120,169.18,169.18,168.82,169.11,22.689
2025-05-06 16:33:00,1746549180,169.09,169.45,169.09,169.27,9.762
2025-05-06 16:34:00,1746549240,169.24,169.4,169.1,169.4,3.008
2025-05-06 16:35:00,1746549300,169.42,169.42,169.21,169.22,8.895
2025-05-06 16:36:00,1746549360,169.26,169.34,169.1,169.34,19.153
2025-05-06 16:37:00,1746549420,169.28,169.32,169.09,169.16,10.468
2025-05-06 16:38:00,1746549480,169.23,169.78,169.2,169.52,208.823
2025-05-06 16:39:00,1746549540,169.51,169.51,168.81,168.85,127.829
2025-05-06 16:40:00,1746549600,168.8,168.84,168.67,168.67,55.872
2025-05-06 16:41:00,1746549660,168.64,168.64,168.36,168.36,65.321
2025-05-06 16:42:00,1746549720,168.33,168.33,168.0,168.05,69.376
2025-05-06 16:43:00,1746549780,167.98,168.07,167.93,167.93,25.215
2025-05-06 16:44:00,1746549840,167.86,167.86,167.2,167.2,69.42
2025-05-06 16:45:00,1746549900,167.15,167.56,167.15,167.56,38.323
2025-05-06 16:46:00,1746549960,167.58,167.58,167.17,167.35,6.747
